Domain Name, ItemID, Auction Type, Time Left, Price, Bids, Domain Age, Traffic, ValuationPrice
TICKETFINE.COM,134774365,Bid,05/09/2014 08:00 AM (PDT),$100,0,0,0,$0
CREATINGMY.COM,134774390,Bid,05/09/2014 08:00 AM (PDT),$500,0,0,0,$0
WPTHEMEHELP.COM,134774444,Bid,05/09/2014 08:00 AM (PDT),$45,1,0,0,$0
APK-ZIPPY.COM,134774445,Bid,05/09/2014 08:00 AM (PDT),$10,0,0,0,$0
FAMILYBUZZMARKETING.COM,134689583,Bid,05/09/2014 08:00 AM (PDT),$88,0,0,0,$0
AMISRAGAS.COM,134689584,Bid,05/09/2014 08:00 AM (PDT),$35,0,0,0,$0
TICKETHUB.COM,134774366,Bid,05/09/2014 08:00 AM (PDT),$100,0,0,0,$0
MIGHTYCREATE.COM,134774392,Bid,05/09/2014 08:00 AM (PDT),$550,0,0,0,$0
KISSMYAXE.COM,134774445,Bid,05/09/2014 08:00 AM (PDT),$46,1,0,0,$0
ONCEUPONATIMEFANPAGE.COM,134774449,Bid,05/09/2014 08:00 AM (PDT),$15,0,0,0,$0
KILLERTOMATOMARKETING.COM,134689582,Bid,05/09/2014 08:00 AM (PDT),$85,0,0,0,$0
VIVALASVEGAS.COM,134689581,Bid,05/09/2014 08:00 AM (PDT),$33,0,0,0,$0
TICKETSFORFREE.COM,134774389,Bid,05/09/2014 08:00 AM (PDT),$100,0,0,0,$0
FOUNDMYNUTS.COM,134774395,Bid,05/09/2014 08:00 AM (PDT),$450,0,0,0,$0
MADONNAWANNABES.COM,134774446,Bid,05/09/2014 08:00 AM (PDT),$49,1,0,0,$0
GOAHEADANDMAKEMYDAY.COM,1347744453,Bid,05/09/2014 08:00 AM (PDT),$19,0,0,0,$0
WHENLIFEGIVESYOULEMONSMARKETING.COM,134689581,Bid,05/09/2014 08:00 AM (PDT),$75,0,0,0,$0
ROADKILLMEDIA.COM,134689588,Bid,05/09/2014 08:00 AM (PDT),$37,0,0,0,$0
TICKETSHARE.COM,134774375,Bid,05/09/2014 08:00 AM (PDT),$100,0,0,0,$0
MARSORBUST.COM,134774399,Bid,05/09/2014 08:00 AM (PDT),$505,0,0,0,$0
THEALIENSARECOMING.COM,134774447,Bid,05/09/2014 08:00 AM (PDT),$44,1,0,0,$0
GIANTWOMENFROMVENUS.COM,134774440,Bid,05/09/2014 08:00 AM (PDT),$11,0,0,0,$0
GOWESTYOUNGMANMARKETING.COM,134689585,Bid,05/09/2014 08:00 AM (PDT),$95,0,0,0,$0
BEAUTYISSUPERFICIAL.COM,134689584,Bid,05/09/2014 08:00 AM (PDT),$39,0,0,0,$0